kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K00752.01,Kepler-227 b,CONFIRMED,1.0,CONFIRMED,False,291.93423,48.141651,9.48803557,2.26,793.0,615.8,2.9575,35.8,93.59,0.146,2,5455.0,0.927,15.347,0.012987848301950104,1.1764705882352942,0.022346214047067454
K00752.02,Kepler-227 c,CONFIRMED,1.0,CONFIRMED,False,291.93423,48.141651,54.4183827,2.83,443.0,874.8,4.507,25.8,9.11,0.586,2,5455.0,0.927,15.347,0.003450886581873126,1.0833333333333335,0.027982206085487123
K00753.01,,CANDIDATE,0.009087174935652162,FALSE POSITIVE,True,297.00482,48.134129,19.89913995,14.6,638.0,10829.0,1.7822,76.3,39.3,0.969,1,5853.0,0.868,15.436,0.0037317358197349296,0.5833333333333334,0.15417302014386666
K00754.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,285.53461,48.28521,1.736952453,33.46,1395.0,8079.2,2.40641,505.6,891.96,1.276,1,5805.0,0.791,15.597,0.057725865299395926,3.6582278481012653,0.3877258016109277
K00755.01,Kepler-664 b,CONFIRMED,1.0,CONFIRMED,False,288.75488,48.2262,2.525591777,2.75,1406.0,603.3,1.6545,40.9,926.16,0.701,1,6031.0,1.046,15.509,0.027295583010603065,0.7142857142857143,0.024097736915805135
K00756.01,Kepler-228 d,CONFIRMED,1.0,CONFIRMED,False,296.28613,48.22467,11.09432054,3.9,835.0,1517.5,4.5945,66.5,114.81,0.538,3,6046.0,0.972,15.714,0.017255450598329294,0.6153846153846154,0.03677677066005817
K00756.02,Kepler-228 c,CONFIRMED,1.0,CONFIRMED,False,296.28613,48.22467,4.13443512,2.77,1160.0,686.0,3.1402,40.2,427.65,0.762,3,6046.0,0.972,15.714,0.031646806122009395,1.625,0.026120937109836186
K00756.03,Kepler-228 b,CONFIRMED,0.9983333333333334,CONFIRMED,True,296.28613,48.22467,2.56658897,1.59,1360.0,226.5,2.429,15.0,807.74,0.755,3,6046.0,0.972,15.714,0.03943301187542052,1.607142857142857,0.014993606499869869
K00114.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,298.86435,42.151569,7.36178958,39.21,1342.0,233.7,5.022,47.7,767.22,1.169,1,6227.0,1.958,12.66,0.028423795291361752,120.67567567567568,0.1835521197203604
K00757.01,Kepler-229 c,CONFIRMED,1.0,CONFIRMED,False,286.99948,48.37579,16.06864674,5.76,600.0,4914.3,3.5347,161.9,30.75,0.052,3,5031.0,0.848,15.841,0.009165623530701047,0.5866666666666667,0.062258962696504855
K00001.01,Kepler-1 b,CONFIRMED,0.9673982056590752,CONFIRMED,False,286.80847,49.316399,2.470613377,13.04,1339.0,14231.0,1.74319,4304.3,761.46,0.818,1,5820.0,0.964,11.338,0.02939873852494998,1.875,0.12398690150647888
K00002.01,Kepler-2 b,CONFIRMED,0.7212380952380953,NEEDS REVIEW (ambiguous),False,292.24728,47.969521,2.204735417,16.1,2048.0,6674.7,3.88864,5945.9,4148.92,0.224,1,6440.0,1.952,10.463,0.0734902997508597,5.671428571428572,0.07559991585400672
K00010.01,Kepler-8 b,CONFIRMED,0.6768881118881118,NEEDS REVIEW (ambiguous),False,281.28812,42.45108,3.522498429,14.59,1521.0,9145.7,3.19843,1741.5,1264.67,0.631,1,6225.0,1.451,13.563,0.03783335020663161,0.29850746268656714,0.09216438487695518
K00112.02,Kepler-466 c,CONFIRMED,1.0,CONFIRMED,False,295.64871,48.49556,3.709214104,1.16,1206.0,131.1,2.6302,50.6,500.46,0.051,2,5833.0,1.022,12.772,0.029545791532627763,1.4499999999999997,0.010403568782836265
K00742.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,297.07993,47.597401,11.521446064,150.51,753.0,17984.0,3.6399,622.1,75.88,2.483,1,5795.0,0.848,15.472,0.013163495203426405,0.19402985074626863,1.6268396658769002
K00743.01,,FALSE POSITIVE,0.13476190476190478,FALSE POSITIVE,True,289.25821,47.635319,19.40393776,7.18,523.0,8918.7,12.2155,214.7,17.69,0.804,1,5043.0,0.68,15.487,0.026230715278622224,0.13235294117647056,0.09678115059039197
K00744.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,True,295.81454,47.69035,19.221388942,49.29,698.0,74284.0,4.79843,2317.0,55.97,1.065,2,6117.0,0.947,15.341,0.010401672009063981,0.08955223880597014,0.4770721764034624
K00745.01,,FALSE POSITIVE,0.4555232448710709,NEEDS REVIEW (ambiguous),True,297.15442,47.668701,16.46983774,7.94,595.0,10479.0,9.4378,303.4,29.61,0.292,1,5152.0,0.786,15.788,0.023876474855098764,0.5882352941176471,0.09259194473403722
K00746.01,Kepler-660 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,288.13824,47.724449,9.27358173,2.47,649.0,1288.3,3.2875,87.2,41.85,0.387,1,4856.0,0.696,15.302,0.014770901972378117,0.6941176470588234,0.0325284195665687
K00747.01,Kepler-661 b,CONFIRMED,0.9983333333333334,CONFIRMED,True,283.71088,47.86327,6.02930329,2.85,678.0,1912.7,1.5821,65.4,50.04,0.258,1,4537.0,0.672,15.784,0.010933408084258661,1.0,0.03887324865784994
K00748.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,283.76547,47.804298,2.696370652,1.58,1066.0,397.9,3.6129,48.2,305.34,0.044,1,4989.0,0.819,15.269,0.05582967604559137,4.60377358490566,0.017682694126323825
K00749.01,Kepler-226 c,CONFIRMED,1.0,CONFIRMED,False,292.37613,47.880989,5.349553819,2.55,919.0,831.0,3.0278,60.6,168.99,0.092,3,5185.0,0.91,15.416,0.02358296366423253,0.3076923076923077,0.0256846727974134
K00749.02,Kepler-226 b,CONFIRMED,1.0,CONFIRMED,False,292.37613,47.880989,3.94105221,1.7,1018.0,363.3,2.5984,28.9,253.15,0.226,3,5185.0,0.91,15.416,0.027471512910169405,1.909090909090909,0.017123115198275602
K00749.03,Kepler-226 d,CONFIRMED,0.9983333333333334,CONFIRMED,False,292.37613,47.880989,8.10904807,1.3,800.0,217.4,3.596,14.1,97.03,0.025,3,5185.0,0.91,15.416,0.018477302396029988,0.20689655172413793,0.013094146916328403
K00113.01,,FALSE POSITIVE,0.006706222554699781,FALSE POSITIVE,False,292.27374,37.671558,386.6030528,41.5,297.0,24927.0,6.8057,994.0,1.84,0.9765,1,5543.0,1.58,12.394,0.0007334935181694803,0.5441176470588235,0.24074997969578488
K00750.01,Kepler-662 b,CONFIRMED,1.0,CONFIRMED,True,290.46512,47.92918,21.67699193,2.95,530.0,857.2,3.4555,34.3,18.64,0.896,4,4954.0,0.828,15.377,0.006642027045616318,0.6875,0.032656296355335936
K00751.01,Kepler-663 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,297.80826,47.946671,4.99677968,2.78,917.0,934.7,2.1717,28.2,166.95,0.71,1,5339.0,0.847,15.861,0.018109163460254863,0.88,0.030084073080490048
K00769.01,Kepler-671 b,CONFIRMED,1.0,CONFIRMED,True,294.26581,49.314091,4.280963604,2.3,1012.0,750.8,2.875,61.8,247.87,0.424,1,5644.0,0.831,15.356,0.02798240717457561,0.7500000000000001,0.025368924831875722
K00770.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,295.66522,49.351009,1.50635409,4.53,1452.0,2211.7,1.5155,181.1,1054.12,0.86,1,5714.0,0.831,15.525,0.04191964807778584,17.226666666666667,0.049965751951476976
K00771.01,,FALSE POSITIVE,0.17635737253100597,FALSE POSITIVE,True,296.69861,49.316479,670.645531,14.14,196.0,18091.0,53.412,642.7,0.35,0.701,1,5520.0,0.983,15.207,0.0033184445390720125,18.657142857142855,0.1318472697638032
K00772.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,True,283.72592,49.479519,61.2563628,39.87,505.0,5123.3,7.633,85.3,15.43,1.248,1,6144.0,1.091,15.25,0.005191977651449241,0.9651162790697676,0.3349629205204485
K00773.01,Kepler-672 b,CONFIRMED,0.993888888888889,CONFIRMED,False,291.72202,49.480869,38.3775486,2.82,529.0,724.2,5.588,34.7,18.53,0.468,1,5481.0,1.036,15.172,0.006066915210246997,3.142857142857143,0.024949658313544655
K00757.02,Kepler-229 d,CONFIRMED,1.0,CONFIRMED,False,286.99948,48.37579,41.19725502,3.86,439.0,2213.9,4.6297,51.2,8.76,0.045,3,5031.0,0.848,15.841,0.004682451939407556,0.631578947368421,0.041722152084810546
K00757.03,Kepler-229 b,CONFIRMED,1.0,CONFIRMED,True,286.99948,48.37579,6.252962249,2.65,823.0,1036.9,2.5819,47.1,108.3,0.105,3,5031.0,0.848,15.841,0.017204512418713413,0.375,0.02864344637946838
K00758.01,Kepler-665 b,CONFIRMED,1.0,CONFIRMED,False,297.02563,48.478588,16.01308419,3.1,593.0,1121.9,3.2554,33.2,29.31,0.799,1,5015.0,0.826,15.39,0.008470677169821753,1.6923076923076923,0.034399877492049195
K00759.01,Kepler-230 b,CONFIRMED,1.0,CONFIRMED,False,285.71854,48.505859,32.62876672,3.36,506.0,1804.8,4.7971,80.0,15.55,0.021,2,5586.0,0.798,15.082,0.006125857234565642,0.7272727272727273,0.038593275121810024
K00759.02,Kepler-230 c,CONFIRMED,1.0,CONFIRMED,False,285.71854,48.505859,91.7732862,2.12,359.0,652.0,6.473,19.1,3.92,0.606,2,5586.0,0.798,15.082,0.002938854480437395,0.9166666666666667,0.024350518826856325
K00760.01,Kepler-1976 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,292.16705,48.727589,4.959319244,12.21,1103.0,9802.0,2.22739,696.5,349.4,0.831,1,5712.0,1.082,15.263,0.018713841981225495,0.32835820895522383,0.10343407919949986
K00761.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,297.92365,48.777321,2.701287801,6.54,1222.0,860.4,3.3827,48.3,527.81,1.016,1,5550.0,0.91,15.54,0.05217727384736867,15.731707317073171,0.06587363140983674
K00762.01,Kepler-666 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,298.45685,48.791592,4.49876511,2.1,1133.0,460.0,3.7362,29.5,389.62,0.312,1,6075.0,0.969,15.395,0.03460394045778487,0.6818181818181818,0.019864185724461046
K00763.01,,FALSE POSITIVE,0.30770845294432836,NEEDS REVIEW (ambiguous),False,291.0939,48.933842,19.651209505,12.42,730.0,11766.0,5.2514,513.4,67.03,0.723,1,6074.0,1.063,15.536,0.011134598777630473,0.08955223880597014,0.1070936155132259
K00115.01,Kepler-105 b,CONFIRMED,1.0,CONFIRMED,False,287.88733,46.276241,5.412203927,2.94,1093.0,601.6,2.9472,166.7,337.68,0.787,3,5779.0,1.087,12.791,0.022689462861401895,0.7272727272727273,0.02479094236780483
K00764.01,Kepler-667 b,CONFIRMED,0.9853253765274225,CONFIRMED,False,295.55505,49.017342,41.43958662,5.5,516.0,2793.1,10.5989,141.1,16.72,0.355,1,5468.0,1.046,15.4,0.01065697969873555,0.8125,0.04819547383161027
K00765.01,Kepler-668 b,CONFIRMED,1.0,CONFIRMED,True,285.49924,49.277351,8.35389523,2.52,790.0,1041.6,2.2514,43.4,91.9,0.023,1,5592.0,0.787,15.317,0.01122929253367394,0.6428571428571428,0.029349523710804702
K00766.01,Kepler-669 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,291.93616,49.253979,4.125543472,4.43,1243.0,1487.3,3.1744,128.6,565.35,0.597,1,6174.0,1.103,15.506,0.03206042247872516,0.4929577464788733,0.036813190922515296
K00767.01,Kepler-670 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,297.01547,49.225288,2.816504904,12.21,1219.0,16814.0,2.50587,1406.8,521.13,0.105,1,5532.0,0.955,15.052,0.03707121185967585,0.373134328358209,0.11718918711398835
K00768.01,,FALSE POSITIVE,0.00313479398327121,FALSE POSITIVE,False,284.17233,49.360722,33.93373447,7.34,430.0,8503.7,14.561,236.1,8.11,0.812,1,5040.0,0.705,15.716,0.017879209076434237,45.887323943661976,0.0954293997958799
K00786.01,Kepler-680 b,CONFIRMED,1.0,CONFIRMED,False,291.62241,50.61824,3.689920099,1.89,1147.0,426.7,2.6557,35.6,408.99,0.151,1,5880.0,0.917,15.242,0.029988228389187854,1.1250000000000002,0.018891555474702806
K00787.01,Kepler-232 b,CONFIRMED,1.0,CONFIRMED,False,295.81616,51.121738,4.431238488,3.25,1104.0,1010.9,3.15,71.1,351.23,0.405,3,5714.0,1.015,15.367,0.029619258894647876,0.9090909090909092,0.029348949984874008
K00787.02,Kepler-232 c,CONFIRMED,1.0,CONFIRMED,False,295.81616,51.121738,11.37936986,3.95,806.0,1023.5,2.6255,37.9,99.68,0.911,3,5714.0,1.015,15.367,0.009613522952432915,0.6470588235294117,0.03567026228930841
K00788.01,Kepler-681 b,CONFIRMED,1.0,CONFIRMED,False,289.39972,51.25032,26.39432897,3.07,489.0,1510.9,3.573,48.2,13.49,0.602,1,5129.0,0.763,15.234,0.005640416173080683,2.076923076923077,0.03687984498452128
K00116.01,Kepler-106 c,CONFIRMED,1.0,CONFIRMED,False,300.86398,44.337551,13.57078281,2.64,785.0,511.7,3.3539,88.4,89.61,0.866,4,5854.0,1.012,12.882,0.010297551385934627,2.0,0.023911050890686646
K00115.02,Kepler-105 c,CONFIRMED,1.0,CONFIRMED,False,287.88733,46.276241,7.12594387,1.79,997.0,192.4,3.0014,47.1,233.31,0.898,3,5779.0,1.087,12.791,0.01754972191962176,0.2857142857142857,0.015093805047064847
K00774.01,,FALSE POSITIVE,0.1322946628315756,FALSE POSITIVE,False,288.98682,49.733742,7.442652004,15.03,967.0,24446.0,2.3078,835.6,206.78,0.137,1,6108.0,0.956,15.27,0.012919901841662584,1.0410958904109588,0.1441041001116016
K00775.01,Kepler-52 c,CONFIRMED,1.0,CONFIRMED,False,286.73804,49.97575,16.38489988,2.0,433.0,1127.1,3.0249,28.9,8.35,0.001,3,4126.0,0.615,15.095,0.007692296011759335,0.06,0.029807814118471162
K00775.02,Kepler-52 b,CONFIRMED,1.0,CONFIRMED,False,286.73804,49.97575,7.8774163,2.16,553.0,1306.1,2.0805,38.7,22.18,0.041,3,4126.0,0.615,15.095,0.011004559959589795,0.5833333333333334,0.03219243924794886
K00775.03,Kepler-52 d,CONFIRMED,1.0,CONFIRMED,False,286.73804,49.97575,36.4454001,1.99,332.0,1122.3,4.007,21.7,2.88,0.028,3,4126.0,0.615,15.095,0.004581053654925668,0.53125,0.029658775047878803
K00776.01,Kepler-673 b,CONFIRMED,0.9880065359477126,CONFIRMED,False,290.78574,50.054119,3.728732147,6.02,1023.0,5226.5,2.683,345.2,258.34,0.558,1,5497.0,0.809,15.523,0.029981147011755752,1.2205882352941175,0.06820610025390343
K00777.01,,CANDIDATE,0.3442028985507246,NEEDS REVIEW (ambiguous),True,294.31686,50.080231,40.4195037,7.51,467.0,6256.0,3.362,36.9,11.29,0.911,1,5446.0,0.781,15.487,0.0034657361053479076,0.7402597402597403,0.08813819505651524
K00778.01,Kepler-674 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,285.17621,50.149818,2.243380573,1.99,822.0,821.7,1.1196,38.9,107.6,0.915,1,4149.0,0.564,15.135,0.02079451010740298,1.5,0.03234068555752742
K00779.01,,FALSE POSITIVE,0.2146781745360185,NEEDS REVIEW (ambiguous),False,289.23553,50.241001,10.405998015,11.23,833.0,14489.0,6.5036,745.2,113.94,0.324,1,5746.0,0.924,15.562,0.026041071019110063,0.1791044776119403,0.11139944687149086
K00780.01,Kepler-675 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,293.83331,50.23035,2.337437946,2.34,1070.0,971.2,1.9982,82.4,311.16,0.28,2,5005.0,0.765,15.334,0.03561948392076515,0.6703296703296703,0.02803687927966787
K00780.02,,CANDIDATE,0.6268881118881119,NEEDS REVIEW (ambiguous),True,293.83331,50.23035,7.2406612,19.45,734.0,556.4,0.558,13.7,68.63,1.198,2,5005.0,0.765,15.334,0.0032110327161834337,1.3148148148148147,0.233041582046812
K00115.03,,CANDIDATE,0.4501735945214206,NEEDS REVIEW (ambiguous),True,287.88733,46.276241,3.43591631,0.55,1272.0,23.2,3.133,8.7,617.61,0.624,3,5779.0,1.087,12.791,0.037993261444329726,0.053763440860215055,0.004637761327310428
K00781.01,Kepler-676 b,CONFIRMED,0.993888888888889,CONFIRMED,True,296.22195,50.28722,11.59822233,2.65,396.0,2804.5,2.5237,71.0,5.82,0.679,1,3688.0,0.473,15.937,0.009066403770746361,0.6947368421052632,0.05135230978813781
K00782.01,Kepler-677 b,CONFIRMED,0.9772222222222222,CONFIRMED,False,290.09805,50.321609,6.575315881,5.31,1015.0,2793.3,4.3084,221.1,251.38,0.39,1,5992.0,0.989,15.312,0.02730160343861154,0.7222222222222222,0.0492122791587388
K00783.01,Kepler-678 b,CONFIRMED,0.9538440410784655,CONFIRMED,False,295.45529,50.49456,7.275040844,4.86,833.0,3001.0,7.5377,312.1,113.64,0.547,1,5485.0,0.867,15.08,0.04317100619336857,1.2318840579710144,0.05137980139486647
K00784.01,Kepler-231 c,CONFIRMED,1.0,CONFIRMED,True,293.97336,50.53191,19.27153892,1.93,393.0,1219.8,2.7594,37.1,5.66,0.031,2,4077.0,0.56,15.385,0.005966051827894188,1.857142857142857,0.031589629435642266
K00784.02,Kepler-231 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,293.97336,50.53191,10.06524317,1.91,488.0,1053.3,1.369,30.3,13.43,0.628,2,4077.0,0.56,15.385,0.00566719210884864,1.0869565217391304,0.031262275762734056
K00785.01,Kepler-679 b,CONFIRMED,1.0,CONFIRMED,False,296.02133,50.56778,12.3935651,2.66,677.0,916.6,3.8896,35.8,49.68,0.883,1,5557.0,0.75,15.505,0.013076678531076316,0.8095238095238096,0.03250840207760465
K00116.02,Kepler-106 e,CONFIRMED,1.0,CONFIRMED,False,300.86398,44.337551,43.84439721,2.87,531.0,615.2,6.802,83.7,18.77,0.852,4,5854.0,1.012,12.882,0.00646414786612747,1.0952380952380953,0.025994210627375256
K00798.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,292.31595,38.27029,3.341913228,21.55,1032.0,725.3,3.813,39.0,268.67,1.213,1,5295.0,0.811,15.629,0.047540133199412915,58.77272727272727,0.24355759091592347
K00799.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,294.36819,38.31028,1.626630225,32.43,1547.0,1620.6,2.1145,103.6,1355.88,1.26,1,5735.0,0.973,15.279,0.0541636109501572,8.2,0.30549869388239576
K00800.01,Kepler-234 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,291.65353,38.494659,2.711504086,3.12,1420.0,837.5,3.0099,64.5,960.79,0.023,2,6214.0,1.076,15.541,0.04625200479967117,0.4545454545454546,0.026577710841320847
K00800.02,Kepler-234 c,CONFIRMED,0.9983333333333334,CONFIRMED,True,291.65353,38.494659,7.21203748,3.32,1025.0,950.4,4.0491,51.5,260.58,0.012,2,6214.0,1.076,15.541,0.023393181256734123,0.5625,0.028281410254226026
K00789.01,,FALSE POSITIVE,0.001792512104076579,FALSE POSITIVE,False,291.0448,51.321671,14.1798187,1.88,711.0,459.9,2.505,11.2,60.35,0.1601,1,5799.0,0.878,15.727,0.007360813435506054,,0.019626306767526396
K00790.01,Kepler-233 b,CONFIRMED,1.0,CONFIRMED,False,296.36652,51.319519,8.47237911,2.59,751.0,1123.5,2.7245,47.6,75.44,0.022,2,5354.0,0.788,15.339,0.013398932207760155,1.5454545454545456,0.030126508070181968
K00790.02,Kepler-233 c,CONFIRMED,1.0,CONFIRMED,False,296.36652,51.319519,60.4189369,2.36,390.0,931.3,5.039,20.1,5.49,0.094,2,5354.0,0.788,15.339,0.003475041834662492,1.8928571428571428,0.027451181098698627
K00791.01,Kepler-682 b,CONFIRMED,0.9781825193845656,CONFIRMED,False,289.11221,51.737381,12.611904345,7.4,753.0,6105.6,5.1497,277.2,76.15,0.55,1,5795.0,0.919,15.14,0.017013357179354135,1.2428571428571427,0.07380596412032767
K00792.01,,FALSE POSITIVE,0.005515746364223591,FALSE POSITIVE,False,290.84369,37.728828,1.433769925,46.58,1920.0,1976.3,1.8868,112.6,3209.29,1.268,1,6017.0,1.339,15.122,0.05483213540461638,1.3766233766233766,0.31885567912905444
K00793.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,291.84891,37.713501,10.31872301,28.59,876.0,871.7,3.836,38.2,139.26,1.215,1,5927.0,1.06,15.065,0.01548964277638201,11.906976744186046,0.247219964374038
K00794.01,Kepler-683 b,CONFIRMED,1.0,CONFIRMED,False,291.43997,37.905659,2.539183147,2.06,1332.0,382.1,2.4282,38.9,743.09,0.238,1,5519.0,1.062,15.026,0.039845491302798096,2.3636363636363638,0.01777943489015589
K00795.01,Kepler-684 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,290.87051,38.273628,6.770300385,2.77,812.0,1304.0,2.0844,50.8,102.87,0.838,1,5653.0,0.679,15.591,0.012828086652170013,1.0,0.037392563874463575
K00796.01,,FALSE POSITIVE,0.0006430868167202572,FALSE POSITIVE,False,290.99689,38.28492,0.444291966,27.51,1836.0,10967.0,2.0792,299.7,2706.26,1.258,1,5255.0,0.636,15.748,0.19499189713759835,73.64999999999999,0.3964685332826039
K00797.01,,CANDIDATE,0.1137827913822547,FALSE POSITIVE,True,291.28195,38.241669,10.181584004,7.73,812.0,5741.1,3.5089,183.6,102.91,0.92,1,5988.0,0.836,15.657,0.014359668064343231,0.13043478260869562,0.08475170928738396
K00812.02,Kepler-235 d,CONFIRMED,1.0,CONFIRMED,False,286.07913,39.27832,20.06036336,1.96,361.0,1494.7,3.3203,35.2,4.0,0.556,4,3950.0,0.493,15.954,0.006896476940651653,0.21428571428571425,0.03644050622556302
K00812.03,Kepler-235 e,CONFIRMED,1.0,CONFIRMED,False,286.07913,39.27832,46.1842039,1.83,273.0,1394.7,4.758,26.0,1.32,0.013,4,3950.0,0.493,15.954,0.004292593208475766,0.380952380952381,0.034023533873867515
K00116.04,Kepler-106 d,CONFIRMED,0.9983333333333334,CONFIRMED,False,300.86398,44.337551,23.9800854,1.31,649.0,104.0,5.351,17.1,41.94,0.95,4,5854.0,1.012,12.882,0.009297645509358084,0.9552238805970149,0.011864953282878602
K00812.04,Kepler-235 c,CONFIRMED,1.0,CONFIRMED,False,286.07913,39.27832,7.82502168,1.2,494.0,520.8,2.186,15.9,14.05,0.708,4,3950.0,0.493,15.954,0.011640010348614565,1.5714285714285716,0.022310514015650824
K00813.01,Kepler-688 b,CONFIRMED,0.9225264107872804,CONFIRMED,False,294.65524,39.308361,3.895936525,7.34,1005.0,8544.8,2.3111,370.8,241.62,0.524,1,5557.0,0.774,15.725,0.02471699236253171,3.638297872340426,0.0869221277210534
K00814.01,Kepler-689 b,CONFIRMED,1.0,CONFIRMED,True,294.71063,39.52174,22.36646466,2.32,536.0,986.8,5.228,32.1,19.45,0.4,1,5395.0,0.734,15.583,0.009739283192256335,0.631578947368421,0.02897124603830698
K00801.01,Kepler-685 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,293.87192,38.422939,1.625522174,9.73,1579.0,7969.0,2.38963,799.7,1467.41,0.076,1,5539.0,1.106,15.001,0.061252881233637764,2.9104477611940296,0.08063674018726287
K00802.01,,CANDIDATE,0.4542466924011469,NEEDS REVIEW (ambiguous),True,293.81619,38.563568,19.620346923,13.6,643.0,21725.0,2.0038,340.5,40.39,0.458,1,5710.0,0.905,15.562,0.0042553613855213415,10.258426966292136,0.1377417443573993
K00803.01,,FALSE POSITIVE,0.001985368695914888,FALSE POSITIVE,False,293.94116,38.601101,7.544039,17.47,838.0,322.6,6.222,14.2,116.46,1.175,1,5657.0,0.824,15.559,0.034364880669360276,,0.19433048864050972
K00804.01,Kepler-1727 b,CONFIRMED,1.0,CONFIRMED,False,290.33362,38.72823,9.02930689,2.57,757.0,1019.8,3.1449,53.9,77.75,0.024,1,5349.0,0.82,15.387,0.014512464976146135,2.071428571428571,0.028727280856676578
K00805.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,287.69675,38.886452,10.328035714,13.28,843.0,16918.0,7.7915,636.8,119.31,0.281,1,5627.0,1.024,15.646,0.03143345378766119,1.1194029850746268,0.11887030247479376
K00806.01,Kepler-30 d,CONFIRMED,0.984064872325742,CONFIRMED,False,285.28363,38.947281,143.2063047,8.9,308.0,10566.0,8.9302,138.8,2.14,0.379,5,5485.0,0.867,15.403,0.0025982910979104865,0.7027027027027027,0.09409058280129867
K00116.03,Kepler-106 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,300.86398,44.337551,6.164876,0.79,1021.0,55.8,3.262,14.4,256.35,0.646,4,5854.0,1.012,12.882,0.022046942495950718,0.7272727272727273,0.00715520083471305
K00806.02,Kepler-30 c,CONFIRMED,0.8738743961352657,CONFIRMED,False,285.28363,38.947281,60.32494216,12.19,411.0,20280.0,6.6188,347.2,6.77,0.224,5,5485.0,0.867,15.403,0.004571630298490341,0.23880597014925373,0.12887238251099223
K00806.03,Kepler-30 b,CONFIRMED,0.8677778593671421,CONFIRMED,False,285.28363,38.947281,29.1598615,1.91,524.0,488.0,4.803,11.6,17.85,0.3619,5,5485.0,0.867,15.403,0.006863029853554002,,0.02019247338769443
K00807.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,286.92639,38.921631,1.540397253,25.69,1470.0,816.1,2.1541,38.8,1105.68,1.225,1,5663.0,0.915,15.974,0.0582668960827254,5.0,0.2573464961708565
K00808.01,,FALSE POSITIVE,0.0013422818791946308,FALSE POSITIVE,False,287.74881,38.92955,2.99025443,1.7,918.0,589.2,5.414,48.5,168.45,0.014,1,4667.0,0.731,15.842,0.07543951145766996,130.46052631578948,0.021316053119604373
K00809.01,Kepler-686 b,CONFIRMED,0.7662380952380953,NEEDS REVIEW (ambiguous),False,285.21381,39.027481,1.594745374,11.3,1539.0,15044.0,1.9604,1009.3,1329.42,0.514,1,5934.0,0.893,15.53,0.051220298026920845,0.14925373134328357,0.11598510874373759
K00810.01,Kepler-1728 b,CONFIRMED,1.0,CONFIRMED,True,287.09399,39.060719,4.783002698,2.5,886.0,1008.7,2.335,70.6,145.48,0.003,1,5170.0,0.807,15.119,0.02034112728126809,0.3655913978494624,0.02839499021508637
K00811.01,Kepler-687 b,CONFIRMED,0.9983333333333334,CONFIRMED,False,289.31543,39.153278,20.50588921,3.41,518.0,2105.5,4.0595,78.5,17.06,0.26,1,4905.0,0.761,15.398,0.008248646601038245,0.6103896103896104,0.0410719168058816
K00812.01,Kepler-235 b,CONFIRMED,1.0,CONFIRMED,False,286.07913,39.27832,3.340218842,2.03,656.0,1632.6,1.9104,71.6,43.73,0.466,4,3950.0,0.493,15.954,0.023830773899933592,0.5454545454545454,0.03774195287647598
K00828.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,295.37805,40.493401,2.507089906,30.26,1326.0,1339.2,2.0067,64.9,730.47,1.255,1,5926.0,0.939,15.555,0.0333504194643748,35.21505376344086,0.2953782960401153
K00829.01,Kepler-53 b,CONFIRMED,1.0,CONFIRMED,False,290.46176,40.562462,18.64932728,3.12,701.0,893.6,4.4056,46.1,57.13,0.08,3,5775.0,1.053,15.386,0.00984307175860054,3.733333333333334,0.027158230641273724
K00117.02,Kepler-107 c,CONFIRMED,1.0,CONFIRMED,True,297.02826,48.208611,4.90144976,1.7,1262.0,140.7,4.1654,50.6,598.74,0.529,4,5847.0,1.402,12.487,0.03540959141307884,2.6818181818181817,0.011114147525271612
