kepoi_name,kepler_name,catalog,p_planet,verdict,unseen,ra,dec,koi_period,koi_prad,koi_teq,koi_depth,koi_duration,koi_model_snr,koi_insol,koi_impact,koi_count,koi_steff,koi_srad,koi_kepmag,duty_cycle,dicco_offset_sig,prad_over_srad
K06339.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,True,291.05762,38.64534,4.176929219,31.35,938.0,70355.0,5.2003,187.0,183.08,0.984,1,5462.0,0.708,15.22,0.051875230655342996,0.16417910447761191,0.40586307073280625
K06340.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,291.44281,38.623581,6.3762199,,,,2.24,,168.45,,1,,,15.822,0.014637721847286563,107.89873417721518,
K06341.01,,CANDIDATE,0.0015524925449564553,FALSE POSITIVE,True,291.70047,38.695129,9.78184193,,,,2.3,,,,1,,,15.198,0.009797064194977572,0.35714285714285715,
K06342.01,,CANDIDATE,0.07381753373835186,FALSE POSITIVE,True,292.10071,38.61499,8.1770751,0.83,1115.0,44.3,4.608,10.6,365.09,0.456,1,6501.0,1.209,12.419,0.023480278418868867,1.1818181818181817,0.006292555300568073
K06343.01,,CANDIDATE,0.001985368695914888,FALSE POSITIVE,True,292.47549,38.691311,569.45051,1.96,225.0,425.4,9.63,8.2,0.61,0.001,1,6117.0,0.947,14.542,0.0007046266408647172,8.153846153846153,0.018970612005493735
K06344.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,294.47253,38.67551,0.823014905,22.17,1482.0,850.5,3.5426,130.5,1136.75,1.247,1,4975.0,0.724,14.221,0.17935074132507156,154.45333333333335,0.2806741243017962
K06472.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,289.7692,40.021091,0.796815149,10.23,5480.0,55.9,1.0727,4.8,212663.45,0.524,1,4897.0,13.499,11.971,0.05609310188119094,120.74285714285713,0.006946232022211104
K06473.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,293.82971,40.031189,26.951237675,146.33,1082.0,86749.0,8.27486,1451.7,324.38,1.04,1,6675.0,2.747,11.957,0.0127929499005219,0.5522388059701492,0.48825866865177814
K06474.01,,FALSE POSITIVE,0.009087174935652162,FALSE POSITIVE,False,294.24017,40.00745,18.11208877,96.62,1068.0,116630.0,6.7828,217.7,307.27,0.982,1,7323.0,1.722,13.627,0.015603758917899046,0.38805970149253727,0.5142912500226221
K06475.01,,CANDIDATE,0.9983333333333334,CONFIRMED,True,295.79138,40.01236,4.84505985,1.54,723.0,298.4,2.078,10.7,64.57,0.903,1,4337.0,0.714,13.731,0.017870436282295527,0.22580645161290325,0.019769594363868374
K06476.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,295.98352,40.061661,4.408295716,35.68,942.0,37964.0,3.62479,386.1,186.23,1.159,1,5496.0,0.743,14.984,0.03426106740491333,2.75,0.4401607178764713
K06477.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,297.38254,40.02417,8.665259912,82.42,1378.0,1840.6,3.1088,181.4,852.84,1.269,1,6071.0,2.389,13.852,0.014948580267505927,6.617283950617284,0.31622172967377604
K06478.01,,FALSE POSITIVE,0.00536394067550515,FALSE POSITIVE,False,297.61514,40.06081,4.726086185,41.38,1032.0,181820.0,4.39793,1564.3,267.96,0.651,1,5873.0,0.863,15.181,0.03877353822173967,0.32835820895522383,0.43949601341641775
K06479.01,,FALSE POSITIVE,0.0,FALSE POSITIVE,False,297.85007,40.068722,8.643550046,38.21,779.0,67299.0,3.1273,849.3,87.16,1.076,1,5679.0,0.747,15.414,0.015075306554969033,0.8970588235294117,0.46884758710982033
K07880.01,,CANDIDATE,0.009087174935652162,FALSE POSITIVE,True,294.95258,44.207909,623.70774,1.81,258.0,250.9,6.688,10.2,1.05,0.003,1,6626.0,1.132,13.379,0.0004467904577657905,1.0,0.01465572804150891
K06592.01,,FALSE POSITIVE,0.023363774298015793,FALSE POSITIVE,False,290.4678,40.754238,1.51945182,0.5,1901.0,13.7,2.95,9.6,3080.82,0.599,1,6168.0,1.307,12.585,0.08089540257134753,2.0,0.003506466274456726
